P98077 2 P62993
P98077 2 Q13480
P98077 5 P12931
P98077 5 Q07889
P98077 5 Q07890
P62993 4 Q06124
P62993 7 Q07889
P62993 7 Q07890
P62993 7 O43561
P62993 7 P62070
P62993 7 O14807
P62993 7 P01112
P62993 7 P01116
P62993 4 P01111
P62993 7 P10301
P62993 7 Q9UQC2
P62993 4 Q13480
P62993 7 P04629
P62993 7 Q16620
P62993 7 P00533
P62993 7 P11362
P62993 7 P22607
P62993 7 P21802
P62993 7 P22455
P62993 7 P16234
P62993 7 P09619
Q13480 7 Q8WYR1
Q13480 7 P42336
Q13480 7 P42338
Q13480 7 O00329
Q13480 7 P48736
Q13480 7 P27986
Q13480 7 O00459
Q13480 7 Q92569
Q13480 7 P46108
Q13480 7 P46109
Q13480 4 Q06124
Q13480 4 P62993
Q13480 7 Q07889
Q13480 7 Q07890
P12931 5 O94887
P12931 8 P63000
P12931 5 P15153
P12931 5 P60763
P12931 5 P35222
P12931 5 P61586
P12931 5 Q14247
P12931 5 P14317
P12931 5 Q05397
P12931 5 Q9NRY4
P12931 5 Q13017
P12931 5 Q59E85
P12931 5 P51636
P12931 5 P56539
P12931 5 Q8WYR1
P12931 5 P42336
P12931 5 P42338
P12931 5 O00329
P12931 5 P48736
P12931 5 P27986
P12931 5 O00459
P12931 5 Q92569
P12931 5 P03372
P12931 5 Q92731
P12931 5 Q86X55
P12931 5 Q15648
P12931 5 Q59EE8
P12931 5 P01100
P12931 5 P05412
P12931 5 P08047
P12931 5 P08253
P12931 5 P14780
P12931 5 P60953
P12931 5 P43146
P12931 5 Q6UXZ4
P12931 5 Q8IZJ1
P12931 5 O95185
P12931 5 Q6ZN44
Q07889 5 P01112
Q07889 5 P01116
Q07889 2 P01111
Q07889 5 O95267
Q07889 5 P62070
Q07889 5 O14807
Q07889 5 P10301
Q07889 5 Q8IV61
Q07889 2 P62993
Q07890 5 P01112
Q07890 5 P01116
Q07890 2 P01111
Q07890 5 O95267
Q07890 5 P62070
Q07890 5 O14807
Q07890 5 P10301
Q07890 5 Q8IV61
Q07890 2 P62993
Q06124 7 Q8WYR1
Q06124 7 P42336
Q06124 7 P42338
Q06124 7 O00329
Q06124 7 P48736
Q06124 7 P27986
Q06124 7 O00459
Q06124 7 Q92569
Q06124 7 P06213
Q06124 9 P35568
Q06124 9 P28482
Q06124 7 P27361
Q06124 7 Q07889
Q06124 7 Q07890
O43561 5 O75791
O43561 2 P62993
O43561 5 Q8WYR1
O43561 5 P42336
O43561 5 P42338
O43561 5 O00329
O43561 5 P48736
O43561 5 P27986
O43561 5 O00459
O43561 5 Q92569
P62070 5 P55196
